年月,CPI前年同月比,完全失業率
2000-01-01,-0.7135575942915251,4.7
2000-02-01,-0.6141248720573311,4.9
2000-03-01,-0.5112474437627856,4.9
2000-04-01,-0.8138351983723258,4.8
2000-05-01,-0.7121057985757906,4.6
2000-06-01,-0.6122448979591799,4.7
2000-07-01,-0.5122950819672178,4.7
2000-08-01,-0.5107252298263587,4.6
2000-09-01,-0.9164969450101923,4.7
2000-10-01,-1.1178861788617933,4.7
2000-11-01,-0.8179959100204415,4.7
2000-12-01,-0.41025641025641546,4.8
2001-01-01,-0.30800821355236874,4.8
2001-02-01,-0.3089598352214229,4.7
2001-03-01,-0.6166495375128367,4.8
2001-04-01,-0.7179487179487243,4.8
2001-05-01,-0.7172131147540894,4.9
2001-06-01,-0.7186858316221789,5.0
2001-07-01,-0.720906282183309,5.0
2001-08-01,-0.7186858316221789,5.1
2001-09-01,-0.7194244604316613,5.3
2001-10-01,-0.7194244604316613,5.3
2001-11-01,-0.9278350515463996,5.4
2001-12-01,-1.1328527291452062,5.4
2002-01-01,-1.3388259526261548,5.2
2002-02-01,-1.5495867768595017,5.3
2002-03-01,-1.2409513960703222,5.3
2002-04-01,-1.0330578512396715,5.3
2002-05-01,-0.8255933952528549,5.4
2002-06-01,-0.7238883143743546,5.5
2002-07-01,-0.8298755186722073,5.4
2002-08-01,-0.8273009307135482,5.5
2002-09-01,-0.7246376811594124,5.4
2002-10-01,-0.9316770186335366,5.4
2002-11-01,-0.41623309053069324,5.2
2002-12-01,-0.31249999999999334,5.4
2003-01-01,-0.41753653444676075,5.4
2003-02-01,-0.20986358866736943,5.2
2003-03-01,-0.10471204188481353,5.4
2003-04-01,-0.10438413361169019,5.5
2003-05-01,-0.20811654526533552,5.4
2003-06-01,-0.4166666666666763,5.4
2003-07-01,-0.20920502092048876,5.2
2003-08-01,-0.31282586027112647,5.1
2003-09-01,-0.2085505735140769,5.2
2003-10-01,0.0,5.1
2003-11-01,-0.5224660397074143,5.1
2003-12-01,-0.4179728317659448,4.9
2004-01-01,-0.3144654088050425,4.9
2004-02-01,0.0,5.0
2004-03-01,-0.10482180293501786,4.8
2004-04-01,-0.4179728317659448,4.8
2004-05-01,-0.5213764337851923,4.7
2004-06-01,0.0,4.7
2004-07-01,-0.10482180293501786,4.9
2004-08-01,-0.20920502092048876,4.8
2004-09-01,0.0,4.6
2004-10-01,0.5224660397074254,4.6
2004-11-01,0.8403361344537785,4.5
2004-12-01,0.20986358866736943,4.5
2005-01-01,0.2103049421661396,4.5
2005-02-01,-0.1051524710830698,4.6
2005-03-01,0.0,4.5
2005-04-01,0.10493179433368471,4.5
2005-05-01,0.10482180293500676,4.5
2005-06-01,-0.5230125523012608,4.3
2005-07-01,-0.31479538300104304,4.4
2005-08-01,-0.3144654088050425,4.3
2005-09-01,-0.31347962382445305,4.2
2005-10-01,-0.8316008316008316,4.4
2005-11-01,-1.041666666666663,4.5
2005-12-01,-0.41884816753927634,4.4
2006-01-01,-0.10493179433367361,4.4
2006-02-01,-0.10526315789473051,4.1
2006-03-01,-0.20986358866736943,4.1
2006-04-01,-0.10482180293501786,4.1
2006-05-01,0.10471204188480243,4.1
2006-06-01,0.525762355415349,4.2
2006-07-01,0.3157894736842026,4.1
2006-08-01,0.9463722397476504,4.1
2006-09-01,0.6289308176100628,4.1
2006-10-01,0.41928721174002703,4.1
2006-11-01,0.3157894736842026,4.0
2006-12-01,0.3154574132492316,4.0
2007-01-01,0.0,4.0
2007-02-01,-0.21074815595364393,4.0
2007-03-01,-0.1051524710830698,4.0
2007-04-01,0.0,3.8
2007-05-01,0.0,3.8
2007-06-01,-0.20920502092048876,3.7
2007-07-01,0.0,3.6
2007-08-01,-0.2083333333333326,3.7
2007-09-01,-0.2083333333333326,3.9
2007-10-01,0.20876826722338038,4.0
2007-11-01,0.6295907660021083,3.8
2007-12-01,0.6289308176100628,3.7
2008-01-01,0.7352941176470562,3.9
2008-02-01,1.055966209081305,4.0
2008-03-01,1.157894736842091,3.8
2008-04-01,0.734522560335793,3.9
2008-05-01,1.2552301255230214,4.0
2008-06-01,1.991614255765195,4.0
2008-07-01,2.3084994753410415,3.9
2008-08-01,2.087682672233826,4.1
2008-09-01,2.087682672233826,4.0
2008-10-01,1.7708333333333437,3.8
2008-11-01,0.938477580813335,4.0
2008-12-01,0.4166666666666652,4.4
2009-01-01,0.0,4.3
2009-02-01,-0.10449320794149175,4.6
2009-03-01,-0.20811654526533552,4.8
2009-04-01,0.0,5.0
2009-05-01,-1.0330578512396715,5.1
2009-06-01,-1.747173689619741,5.2
2009-07-01,-2.2564102564102573,5.5
2009-08-01,-2.249488752556239,5.4
