発表区域名,発表区域コード,発表機関,発表時刻,地域名,地域コード,予報時刻,予報日,天気コード,降水確率,信頼度
東京都,130000,気象庁,2026-06-19T17:00:00+09:00,東京地方,130010,2026-06-20T00:00:00+09:00,2026-06-20,214,,
東京都,130000,気象庁,2026-06-19T17:00:00+09:00,東京地方,130010,2026-06-21T00:00:00+09:00,2026-06-21,203,70.0,
東京都,130000,気象庁,2026-06-19T17:00:00+09:00,東京地方,130010,2026-06-22T00:00:00+09:00,2026-06-22,200,40.0,C
東京都,130000,気象庁,2026-06-19T17:00:00+09:00,東京地方,130010,2026-06-23T00:00:00+09:00,2026-06-23,202,50.0,C
東京都,130000,気象庁,2026-06-19T17:00:00+09:00,東京地方,130010,2026-06-24T00:00:00+09:00,2026-06-24,202,50.0,C
東京都,130000,気象庁,2026-06-19T17:00:00+09:00,東京地方,130010,2026-06-25T00:00:00+09:00,2026-06-25,202,50.0,C
東京都,130000,気象庁,2026-06-19T17:00:00+09:00,東京地方,130010,2026-06-26T00:00:00+09:00,2026-06-26,202,50.0,C
東京都,130000,気象庁,2026-06-19T17:00:00+09:00,伊豆諸島,130100,2026-06-20T00:00:00+09:00,2026-06-20,302,,
東京都,130000,気象庁,2026-06-19T17:00:00+09:00,伊豆諸島,130100,2026-06-21T00:00:00+09:00,2026-06-21,203,70.0,
東京都,130000,気象庁,2026-06-19T17:00:00+09:00,伊豆諸島,130100,2026-06-22T00:00:00+09:00,2026-06-22,202,50.0,C
東京都,130000,気象庁,2026-06-19T17:00:00+09:00,伊豆諸島,130100,2026-06-23T00:00:00+09:00,2026-06-23,202,50.0,C
東京都,130000,気象庁,2026-06-19T17:00:00+09:00,伊豆諸島,130100,2026-06-24T00:00:00+09:00,2026-06-24,202,50.0,C
東京都,130000,気象庁,2026-06-19T17:00:00+09:00,伊豆諸島,130100,2026-06-25T00:00:00+09:00,2026-06-25,202,50.0,C
東京都,130000,気象庁,2026-06-19T17:00:00+09:00,伊豆諸島,130100,2026-06-26T00:00:00+09:00,2026-06-26,202,50.0,C
東京都,130000,気象庁,2026-06-19T17:00:00+09:00,小笠原諸島,130040,2026-06-20T00:00:00+09:00,2026-06-20,201,,
東京都,130000,気象庁,2026-06-19T17:00:00+09:00,小笠原諸島,130040,2026-06-21T00:00:00+09:00,2026-06-21,101,20.0,
東京都,130000,気象庁,2026-06-19T17:00:00+09:00,小笠原諸島,130040,2026-06-22T00:00:00+09:00,2026-06-22,201,30.0,A
東京都,130000,気象庁,2026-06-19T17:00:00+09:00,小笠原諸島,130040,2026-06-23T00:00:00+09:00,2026-06-23,200,40.0,B
東京都,130000,気象庁,2026-06-19T17:00:00+09:00,小笠原諸島,130040,2026-06-24T00:00:00+09:00,2026-06-24,200,40.0,B
東京都,130000,気象庁,2026-06-19T17:00:00+09:00,小笠原諸島,130040,2026-06-25T00:00:00+09:00,2026-06-25,200,40.0,B
東京都,130000,気象庁,2026-06-19T17:00:00+09:00,小笠原諸島,130040,2026-06-26T00:00:00+09:00,2026-06-26,200,40.0,B
埼玉県,110000,熊谷地方気象台,2026-06-19T17:00:00+09:00,埼玉県,110000,2026-06-20T00:00:00+09:00,2026-06-20,214,,
埼玉県,110000,熊谷地方気象台,2026-06-19T17:00:00+09:00,埼玉県,110000,2026-06-21T00:00:00+09:00,2026-06-21,203,70.0,
埼玉県,110000,熊谷地方気象台,2026-06-19T17:00:00+09:00,埼玉県,110000,2026-06-22T00:00:00+09:00,2026-06-22,202,50.0,C
埼玉県,110000,熊谷地方気象台,2026-06-19T17:00:00+09:00,埼玉県,110000,2026-06-23T00:00:00+09:00,2026-06-23,202,50.0,C
埼玉県,110000,熊谷地方気象台,2026-06-19T17:00:00+09:00,埼玉県,110000,2026-06-24T00:00:00+09:00,2026-06-24,202,50.0,C
埼玉県,110000,熊谷地方気象台,2026-06-19T17:00:00+09:00,埼玉県,110000,2026-06-25T00:00:00+09:00,2026-06-25,202,50.0,C
埼玉県,110000,熊谷地方気象台,2026-06-19T17:00:00+09:00,埼玉県,110000,2026-06-26T00:00:00+09:00,2026-06-26,202,50.0,C
長野県,200000,長野地方気象台,2026-06-19T17:00:00+09:00,長野県,200000,2026-06-20T00:00:00+09:00,2026-06-20,214,,
長野県,200000,長野地方気象台,2026-06-19T17:00:00+09:00,長野県,200000,2026-06-21T00:00:00+09:00,2026-06-21,203,80.0,
長野県,200000,長野地方気象台,2026-06-19T17:00:00+09:00,長野県,200000,2026-06-22T00:00:00+09:00,2026-06-22,202,50.0,C
長野県,200000,長野地方気象台,2026-06-19T17:00:00+09:00,長野県,200000,2026-06-23T00:00:00+09:00,2026-06-23,202,50.0,C
長野県,200000,長野地方気象台,2026-06-19T17:00:00+09:00,長野県,200000,2026-06-24T00:00:00+09:00,2026-06-24,200,40.0,C
長野県,200000,長野地方気象台,2026-06-19T17:00:00+09:00,長野県,200000,2026-06-25T00:00:00+09:00,2026-06-25,200,40.0,B
長野県,200000,長野地方気象台,2026-06-19T17:00:00+09:00,長野県,200000,2026-06-26T00:00:00+09:00,2026-06-26,202,50.0,C
新潟県,150000,新潟地方気象台,2026-06-19T17:00:00+09:00,新潟県,150000,2026-06-20T00:00:00+09:00,2026-06-20,212,,
新潟県,150000,新潟地方気象台,2026-06-19T17:00:00+09:00,新潟県,150000,2026-06-21T00:00:00+09:00,2026-06-21,302,90.0,
新潟県,150000,新潟地方気象台,2026-06-19T17:00:00+09:00,新潟県,150000,2026-06-22T00:00:00+09:00,2026-06-22,203,70.0,B
新潟県,150000,新潟地方気象台,2026-06-19T17:00:00+09:00,新潟県,150000,2026-06-23T00:00:00+09:00,2026-06-23,202,50.0,C
新潟県,150000,新潟地方気象台,2026-06-19T17:00:00+09:00,新潟県,150000,2026-06-24T00:00:00+09:00,2026-06-24,200,40.0,C
新潟県,150000,新潟地方気象台,2026-06-19T17:00:00+09:00,新潟県,150000,2026-06-25T00:00:00+09:00,2026-06-25,200,40.0,B
新潟県,150000,新潟地方気象台,2026-06-19T17:00:00+09:00,新潟県,150000,2026-06-26T00:00:00+09:00,2026-06-26,200,40.0,B
宗谷地方,011000,稚内地方気象台,2026-06-19T17:00:00+09:00,宗谷地方,011000,2026-06-20T00:00:00+09:00,2026-06-20,200,,
宗谷地方,011000,稚内地方気象台,2026-06-19T17:00:00+09:00,宗谷地方,011000,2026-06-21T00:00:00+09:00,2026-06-21,200,20.0,
宗谷地方,011000,稚内地方気象台,2026-06-19T17:00:00+09:00,宗谷地方,011000,2026-06-22T00:00:00+09:00,2026-06-22,200,30.0,A
宗谷地方,011000,稚内地方気象台,2026-06-19T17:00:00+09:00,宗谷地方,011000,2026-06-23T00:00:00+09:00,2026-06-23,201,30.0,A
宗谷地方,011000,稚内地方気象台,2026-06-19T17:00:00+09:00,宗谷地方,011000,2026-06-24T00:00:00+09:00,2026-06-24,201,30.0,A
宗谷地方,011000,稚内地方気象台,2026-06-19T17:00:00+09:00,宗谷地方,011000,2026-06-25T00:00:00+09:00,2026-06-25,201,30.0,A
宗谷地方,011000,稚内地方気象台,2026-06-19T17:00:00+09:00,宗谷地方,011000,2026-06-26T00:00:00+09:00,2026-06-26,201,30.0,A
